tt1480055	tt0944947	1	1
tt1480056	tt0090441	1	9
tt1480057	tt0090441	1	6
tt1480058	tt0090441	1	7
tt1480059	tt0090441	1	2
tt1480060	tt0090441	1	5
tt1480061	tt0090441	1	1
tt1480062	tt0090441	1	4
tt1480063	tt0090441	1	3
tt1480064	tt0090441	1	8
tt1480071	tt1442548	1	10
tt1480073	tt0892577	\N	\N
tt1480074	tt0892577	9	3
tt1480075	tt0892577	9	11
tt1480076	tt0892577	9	6
tt1480077	tt0892577	6	12
tt1480078	tt0892577	9	9
tt1480079	tt0892577	8	13
tt1480080	tt0892577	9	12
tt1480081	tt0892577	6	11
tt1480082	tt0892577	9	13
tt1480083	tt0892577	6	7
tt1480084	tt0892577	6	6
tt1480085	tt0892577	6	10
tt1480086	tt0892577	6	9
tt1480087	tt0892577	9	2
tt1480088	tt0264257	\N	\N
tt1480089	tt1462230	1	24
tt1480090	tt0320037	7	88
tt1480092	tt0203259	11	2
tt1480093	tt1103987	2	9
tt1480095	tt0782374	4	43
tt1480096	tt0782374	4	37
tt1480097	tt0782374	4	46
tt1480098	tt0782374	4	40
tt1480099	tt0782374	4	38
tt1480100	tt0782374	4	42
tt1480101	tt0782374	4	48
tt1480102	tt0782374	4	44
tt1480103	tt0782374	4	47
tt1480104	tt0782374	4	39
tt1480105	tt0782374	4	45
tt1480106	tt0782374	4	41
tt1480107	tt0782374	4	35
tt1480109	tt1105447	1	15
tt1480110	tt1257809	\N	\N
tt1480111	tt1470380	1	11
tt1480112	tt0196269	18	22
tt1480113	tt0446850	\N	\N
tt1480114	tt0446850	\N	\N
tt1480116	tt1280729	1	6
tt1480117	tt1280729	1	3
tt1480118	tt1280729	1	30
tt1480119	tt0312172	8	2
tt1480120	tt0462125	6	7
tt1480121	tt0462125	6	17
tt1480122	tt0814234	1	1
tt1480123	tt0814234	1	2
tt1480124	tt0814234	1	3
tt1480125	tt1287866	\N	\N
tt1480126	tt1287866	\N	\N
tt1480127	tt1287866	\N	\N
tt1480128	tt1287866	\N	\N
tt1480129	tt1287866	\N	\N
tt1480130	tt1287866	\N	\N
tt1480131	tt1287866	\N	\N
tt1480132	tt1287866	\N	\N
tt1480133	tt1287866	\N	\N
tt1480134	tt1287866	\N	\N
tt1480136	tt0350448	7	20
tt1480137	tt1118299	8	5
tt1480138	tt1478296	1	1
tt1480139	tt1319735	1	10
tt1480140	tt1319735	1	9
tt1480141	tt0879688	3	11
tt1480142	tt0061294	1	8
tt1480143	tt0061294	1	7
tt1480144	tt0161194	19	10
tt1480145	tt0161194	19	13
tt1480146	tt0161194	19	4
tt1480147	tt0161194	19	9
tt1480148	tt0161194	20	18
tt1480149	tt0161194	8	3
tt1480151	tt0776750	1	27
tt1480152	tt0776750	1	29
tt1480153	tt0776750	1	11
tt1480154	tt0776750	1	24
tt1480155	tt0776750	1	25
tt1480156	tt0776750	1	19
tt1480157	tt0776750	1	20
tt1480158	tt0776750	1	10
tt1480159	tt0776750	1	21
tt1480160	tt0776750	1	17
tt1480161	tt0776750	1	26
tt1480162	tt0776750	1	14
tt1480163	tt0776750	1	12
tt1480164	tt0900870	\N	\N
tt1480166	tt1103973	2	11
tt1480167	tt0995011	1	26
