year,tconst,title,dates,genre,nominations,emmys,nconst,name,director,writer,producer,gender,emmys
2016,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1417193,Matthew Thunell,,,"executive producer (8 episodes, 2016)",male,[]
2016,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2420764,Rand Geiger,,,"producer / associate producer (25 episodes, 2016-2019)",female,[]
2016,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0851266,Alison Tatlock,,"(1 episode, 2016)","co-producer (8 episodes, 2016)",female,[]
2016,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm8293031,Brian Wright,,,"executive producer (9 episodes, 2016-2017)",male,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1819973,Ross Duffer,"(14 episodes, 2016-2019)","(created by) (25 episodes, 2016-2019)","executive producer (25 episodes, 2016-2019)",male,"['Nom. Outstanding Directing for a Drama Series 2017', 'Nom. Outstanding Writing for a Drama Series 2017', 'Nom. Outstanding Drama Series 2017']"
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm1819972,Matt Duffer,"(14 episodes, 2016-2019)","(created by) (25 episodes, 2016-2019)","executive producer (25 episodes, 2016-2019)",male,"['Nom. Outstanding Directing for a Drama Series 2017', 'Nom. Outstanding Writing for a Drama Series 2017', 'Nom. Outstanding Drama Series 2017']"
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm3275942,Rebecca Thomas,"(1 episode, 2017)",,,female,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm6863995,Jessie Nickson-Lopez,,"(17 episodes, 2016-2017)",,female,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2950264,Dan Cohen,,,"executive producer (25 episodes, 2016-2019)",male,['Nom. Outstanding Drama Series 2017']
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0506613,Shawn Levy,"(6 episodes, 2016-2019)",,"executive producer (25 episodes, 2016-2019)",mostly_male,['Nom. Outstanding Drama Series 2017']
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0665494,Iain Paterson,,,"executive producer / co-executive producer (25 episodes, 2016-2019)",male,['Nom. Outstanding Drama Series 2017']
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2099451,Paul Dichter,,"(15 episodes, 2016-2019)",,male,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm7255258,Emily Morris,,,"associate producer (24 episodes, 2016-2019)",female,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2899027,Justin Doble,,"(4 episodes, 2016-2017)","producer / co-producer (17 episodes, 2016-2017)",male,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm2420764,Rand Geiger,,,"producer / associate producer (25 episodes, 2016-2019)",female,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm8293031,Brian Wright,,,"executive producer (9 episodes, 2016-2017)",male,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm0004056,Andrew Stanton,"(2 episodes, 2017)",,,male,[]
2017,tt4574334,Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",24,6,nm4418668,Kate Trefry,,"(14 episodes, 2017-2019)",,female,[]
