2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,['Nom. Outstanding Non-Fiction Series 2001']
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,['Nom. Outstanding Non-Fiction Series 2001']
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,['Nom. Outstanding Non-Fiction Series 2001']
2001,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,['Nom. Outstanding Non-Fiction Series 2001']
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0797310,Alice Siess,,,"associate producer / producer (75 episodes, 2000-2005)",female,[]
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,"['Nom. Outstanding Non-Fiction Special (Informational) 2002', 'Nom. Outstanding Non-Fiction Series (Informational) 2002']"
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,"['Nom. Outstanding Non-Fiction Special (Informational) 2002', 'Nom. Outstanding Non-Fiction Series (Informational) 2002']"
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,"['Nom. Outstanding Non-Fiction Special (Informational) 2002', 'Nom. Outstanding Non-Fiction Series (Informational) 2002']"
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,"['Nom. Outstanding Non-Fiction Special (Informational) 2002', 'Nom. Outstanding Non-Fiction Series (Informational) 2002']"
2002,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0439130,Jeremy Kareken,,,"associate producer (14 episodes, 2002-2006)",male,[]
2003,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1549227,Jasmin Proios Gammon,,,"associate producer (12 episodes, 2003-2004)",female,[]
2003,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0797310,Alice Siess,,,"associate producer / producer (75 episodes, 2000-2005)",female,[]
2003,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,['Nom. Outstanding Non-Fiction Series (Traditional) 2003']
2003,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,['Nom. Outstanding Non-Fiction Series (Traditional) 2003']
2003,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,[]
2003,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,['Nom. Outstanding Non-Fiction Series (Traditional) 2003']
2003,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0439130,Jeremy Kareken,,,"associate producer (14 episodes, 2002-2006)",male,[]
2004,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1549227,Jasmin Proios Gammon,,,"associate producer (12 episodes, 2003-2004)",female,[]
2004,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0797310,Alice Siess,,,"associate producer / producer (75 episodes, 2000-2005)",female,['Nom. Outstanding Nonfiction Series 2004']
2004,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm10053402,Dan J.P. Ciernia,,,"operations producer: bravo (1 episode, 2004)",male,[]
2004,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,['Nom. Outstanding Nonfiction Series 2004']
2004,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0467370,Michael Kostel,,,"producer (96 episodes, 1995-2004)",male,['Nom. Outstanding Nonfiction Series 2004']
2004,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,,male,[]
2004,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm1372022,John Servidio,,,"producer (8 episodes, 1998-2004)",male,['Nom. Outstanding Nonfiction Series 2004']
2004,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0439130,Jeremy Kareken,,,"associate producer (14 episodes, 2002-2006)",male,[]
2005,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0797310,Alice Siess,,,"associate producer / producer (75 episodes, 2000-2005)",female,"['Nom. Outstanding Nonfiction Special 2005', 'Nom. Outstanding Nonfiction Series 2005']"
2005,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0513851,James Lipton,,"(18 episodes, 1994-2014)","executive producer (20 episodes, 1994-2015)",male,"['Nom. Outstanding Nonfiction Special 2005', 'Nom. Outstanding Nonfiction Series 2005']"
2005,tt0169455,Inside the Actors Studio,(1994– ),"
Talk-Show            ",19,1,nm0943433,Jeff Wurtz,"(17 episodes, 1996-2014)",,"producer (24 episodes, 2005-2014)",male,['Nom. Outstanding Nonfiction Series 2005']
