2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm3535341,Ryan Johnson,,"(9 episodes, 2016-2019)","co-producer / co-executive producer / producer (35 episodes, 2016-2019)",mostly_male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0671210,Mark Pellington,,,"executive producer (8 episodes, 2015-2016)",male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0796864,Marcos Siega,"(4 episodes, 2015-2016)",,,male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm3856447,Rachel Caris Love,,"(41 episodes, 2015-2019)",,female,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0110644,Tricia Brock,"(1 episode, 2016)",,,female,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2219687,Brendan Gall,,"(7 episodes, 2015-2019)","co-executive producer / executive producer / supervising producer (88 episodes, 2015-2019)",male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2287980,Rich Newey,"(1 episode, 2016)",,,mostly_male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1032600,Rob Seidenglanz,"(6 episodes, 2016-2017)",,,male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0907188,Harvey Waldman,,,"producer (12 episodes, 2015-2016)",male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0571739,Tawnia McKiernan,"(1 episode, 2016)",,,unknown,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2527230,Eric Buchman,,"(46 episodes, 2016-2019)",,male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1744657,Chad McQuay,,,"producer (25 episodes, 2016-2019)",male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1236625,Martin Gero,"(4 episodes, 2016-2018)","(creator) (87 episodes, 2015-2019)","executive producer (83 episodes, 2015-2019)",male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0644540,Carl Ogawa,,,"producer / co-producer (30 episodes, 2015-2019)",male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0501728,Jennifer Lence,,,"producer / co-producer (30 episodes, 2015-2019)",female,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm2566002,Katherine Collins,,"(12 episodes, 2015-2016)",,female,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1069989,Olatunde Osunsanmi,"(1 episode, 2016)",,,unknown,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0574765,David McWhirter,"(8 episodes, 2015-2019)",,,male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0454835,Jeff King,"(5 episodes, 2016-2018)",,"executive producer / co-executive producer (30 episodes, 2016-2017)",male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0075528,Greg Berlanti,,,"executive producer (89 episodes, 2015-2019)",male,[]
2016,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1584238,Alex Berger,,"(6 episodes, 2015-2017)","executive producer / supervising producer / co-executive producer (29 episodes, 2015-2019)",male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1270069,Adam Salky,"(3 episodes, 2017-2018)",,,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0552140,Darnell Martin,"(1 episode, 2017)",,,mostly_male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0878373,David S. Tuttman,"(6 episodes, 2017-2018)",,,male,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm1150863,Sarah Schechter,,,"executive producer (31 episodes, 2015-2019)",female,[]
2017,tt4474344,Blindspot,(2015– ),"
Action, Crime, Drama            ",3,0,nm0236173,Dermott Downs,"(3 episodes, 2016-2018)",,,unknown,[]
