1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0779333,Joan Scott,,"(8 episodes, 1956-1962)",,female,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm1256641,Dusty Bruce,,,"producer (81 episodes, 1955-1957)",mostly_male,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0608868,Marianne Mosner,,"(2 episodes, 1956-1961)",,female,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm2470760,Seymour Kern,,"(5 episodes, 1956-1957)",,male,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0008489,Rudolph E. Abel,,,"associate producer / producer (128 episodes, 1954-1958)",male,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0203032,Paul David,,"(12 episodes, 1956-1958)",,male,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0782947,Lesley Selander,"(54 episodes, 1955-1959)",,,andy,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0089286,Robert Bloomfield,,"(2 episodes, 1956)",,male,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0453311,Tom Kilpatrick,,"(1 episode, 1956)",,male,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0046772,Gwen Bagni,,"(1 episode, 1956)",,female,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0414438,Jack Jacobs,,"(1 episode, 1956)",,male,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0733142,Thelma Robinson,,"(4 episodes, 1955-1956)",,female,[]
1956,tt0046617,Lassie,(1954–1974),"
Adventure, Drama, Family            ",5,2,nm0385227,Arthur Hilton,"(1 episode, 1956)",,,male,[]
