2006,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1503357,John O'Bryan,,"(61 episodes, 2005-2008)",,male,[]
2006,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2083477,Giancarlo Volpe,"(19 episodes, 2005-2008)","(1 episode, 2006)",,male,[]
2006,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2779474,Lisa Wahlander,,"(1 episode, 2006)",,female,[]
2006,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1323127,Kay Hwang,,,"associate producer: Tin House Inc. (1 episode, 2006)",male,[]
2006,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2320725,Ethan Spaulding,"(12 episodes, 2006-2008)",,,male,[]
2006,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1348661,Joann Estoesta,,"(1 episode, 2006)",,female,[]
2006,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm0373388,Tim Hedrick,,"(50 episodes, 2005-2008)",,male,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm0227204,Michael Dante DiMartino,,"(creator) (64 episodes, 2005-2008)","executive producer (64 episodes, 2005-2008)",male,['Nom. Outstanding Animated Program (For Programming Less Than One Hour) 2007']
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1132209,Aaron Ehasz,,"(61 episodes, 2005-2008)","co-executive producer / co-producer (63 episodes, 2005-2008)",male,['Nom. Outstanding Animated Program (For Programming Less Than One Hour) 2007']
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1665983,Bryan Konietzko,,"(creator) (64 episodes, 2005-2008)","executive producer (64 episodes, 2005-2008)",male,['Nom. Outstanding Animated Program (For Programming Less Than One Hour) 2007']
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2186676,Seung-Hyun Oh,"(3 episodes, 2007)",,,male,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2624720,Joshua Hamilton,,"(25 episodes, 2006-2008)",,male,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2352830,May Chan,,"(14 episodes, 2007-2008)",,female,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1618485,Miken Wong,,,"line producer / animation producer (64 episodes, 2005-2008)",unknown,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1326120,Eric Coleman,,,"executive producer: Nickelodeon (39 episodes, 2006-2008)",male,['Nom. Outstanding Animated Program (For Programming Less Than One Hour) 2007']
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1690966,Joaquim Dos Santos,"(8 episodes, 2007-2008)",,,male,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2419560,Elizabeth Welch Ehasz,,"(50 episodes, 2005-2008)",,female,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm0922667,Alexander Westerman,,,"digital producer (uncredited) (60 episodes, 2005-2008)",male,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1394301,Katie Mattila,,"(2 episodes, 2006-2007)",,female,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1503357,John O'Bryan,,"(61 episodes, 2005-2008)",,male,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2083477,Giancarlo Volpe,"(19 episodes, 2005-2008)",,,male,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2320725,Ethan Spaulding,"(12 episodes, 2006-2008)",,,male,[]
2007,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm0373388,Tim Hedrick,,"(50 episodes, 2005-2008)",,male,['Nom. Outstanding Animated Program (For Programming Less Than One Hour) 2007']
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm0227204,Michael Dante DiMartino,,"(creator) (64 episodes, 2005-2008)","executive producer (64 episodes, 2005-2008)",male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1132209,Aaron Ehasz,,"(61 episodes, 2005-2008)","co-executive producer / co-producer (63 episodes, 2005-2008)",male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1665983,Bryan Konietzko,,"(creator) (64 episodes, 2005-2008)","executive producer (64 episodes, 2005-2008)",male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2624720,Joshua Hamilton,,"(25 episodes, 2006-2008)",,male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2352830,May Chan,,"(14 episodes, 2007-2008)",,female,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1618485,Miken Wong,,,"line producer / animation producer (64 episodes, 2005-2008)",unknown,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1326120,Eric Coleman,,,"executive producer: Nickelodeon (39 episodes, 2006-2008)",male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1690966,Joaquim Dos Santos,"(8 episodes, 2007-2008)",,,male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2419560,Elizabeth Welch Ehasz,,"(50 episodes, 2005-2008)",,female,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm0922667,Alexander Westerman,,,"digital producer (uncredited) (60 episodes, 2005-2008)",male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm1503357,John O'Bryan,,"(61 episodes, 2005-2008)",,male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2083477,Giancarlo Volpe,"(19 episodes, 2005-2008)",,,male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm2320725,Ethan Spaulding,"(12 episodes, 2006-2008)",,,male,[]
2008,tt0417299,Avatar: The Last Airbender,(2005–2008),"
Animation, Action, Adventure            ",1,1,nm0373388,Tim Hedrick,,"(50 episodes, 2005-2008)",,male,[]
