1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0556226,Laurence E. Mascott,,"(1 episode, 1960)",,female,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0234228,David Dortort,,"(creator) (430 episodes, 1959-1973)","producer / executive producer (425 episodes, 1959-1973)",male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0626981,E. Jack Neuman,,"(1 episode, 1960)",,unknown,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0911350,Al C. Ward,,"(2 episodes, 1959-1960)",,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0723664,John Rich,"(4 episodes, 1960-1968)",,,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0860651,Robert E. Thompson,,"(4 episodes, 1959-1960)",,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0270765,Felix E. Feist,"(1 episode, 1960)",,,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0919925,Halsted Welles,,"(1 episode, 1960)",,unknown,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0298891,John Furia,,"(5 episodes, 1960-1962)",,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0928611,Myles Wilder,,"(1 episode, 1960)",,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0718466,Dean Riesner,,"(1 episode, 1960)",,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0946389,James P. Yarbrough,"(2 episodes, 1960-1961)",,,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0869664,Jacques Tourneur,"(1 episode, 1960)",,,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0351918,Charles F. Haas,"(3 episodes, 1960)",,,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0338197,Morris Lee Green,,"(1 episode, 1960)",,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0293750,Fred Freiberger,,"(1 episode, 1960)",,male,[]
1960,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0020765,Lewis Allen,"(42 episodes, 1960-1973)",,,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0604980,Richard Morgan,,"(1 episode, 1961)",,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0484479,Richard H. Landau,,"(1 episode, 1961)",,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0267076,William D. Faralla,"(2 episodes, 1961)",,,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0370252,Ward Hawkins,,"(17 episodes, 1961-1973)",,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0989216,Theodore Ferro,,"(1 episode, 1961)",,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0370152,John Hawkins,,"(29 episodes, 1961-1972)",,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0067801,Arnold Belgard,,"(3 episodes, 1961-1963)",,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm2470849,James Van Wagoner,,"(1 episode, 1961)",,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0989215,Mathilde Ferro,,"(1 episode, 1961)",,female,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0638528,Christian Nyby,"(26 episodes, 1959-1967)",,,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm0186918,Oliver Crawford,,"(2 episodes, 1960-1967)",,male,[]
1961,tt0052451,Bonanza,(1959–1973),"
Western            ",9,3,nm1309210,William Powell,,"(1 episode, 1961)",,male,[]
