2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm1004604,Adele Lim,,"(1 episode, 2012)","consulting producer (7 episodes, 2012)",female,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0793455,Steve Shill,"(4 episodes, 2012)",,"executive producer (7 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0775562,Richard Peter Schroer,,,"co-producer (5 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0560033,Gina Matthews,,,"executive producer (8 episodes, 2012)",female,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0714864,Paul Redford,,"(2 episodes, 2012)","co-executive producer (8 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0024948,Gideon Amir,,,"producer (8 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0663489,James D. Parriott,,"(1 episode, 2012)","executive producer (7 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0008971,Phil Abraham,"(2 episodes, 2012)",,,male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0250267,Paul A. Edwards,"(2 episodes, 2012)",,,male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0770090,Grant Scharbo,,"(1 episode, 2012)","executive producer (7 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm3883445,Faruk Ozerten,,,"producer: Istanbul (1 episode, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm2575638,Marcie Ulin,,"(1 episode, 2012)","co-producer (10 episodes, 2012)",female,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0000171,Ashley Judd,,,"co-executive producer (8 episodes, 2012)",mostly_female,['Nom. Outstanding Lead Actress in a Miniseries or a Movie 2012']
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0060962,Kenny Bates,,,"co-producer (9 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0103786,Ben Brafman,,,"associate producer (10 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0830299,Matthew Stillman,,,"co-producer (10 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm1947484,Meredith Lavender,,"(1 episode, 2012)","co-producer (10 episodes, 2012)",mostly_female,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0591459,David Minkowski,,,"co-producer (10 episodes, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm5291080,Kenny Bates,,,"co-producer (1 episode, 2012)",male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0533976,Patrick Macmanus,,"(1 episode, 2012)",,male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm1018092,Dana Greenblatt,,"(1 episode, 2012)",,female,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm1326093,James Strong,"(2 episodes, 2012)",,,male,[]
2012,tt1828246,Missing,(2012),"
Action, Drama, Thriller            ",2,0,nm0201304,Gregory Poirier,,"(creator) (10 episodes, 2012)","executive producer (8 episodes, 2012)",male,[]
