name_first,name_last,uuid,patent_id,inventor_id,#patents
James G.,Murphy,5vpalsv9rkzda1w1vw3hnd9up,5346997,5346997-1,72
Kent,Murphy,4s22g08scs6bu4935xi3qd6xp,5684776,5684776-2,35
Kent,Murphy,6i7449a9jvg0n7iaicptr29uv,5381229,4426215-1,35
Kent,Murphy,8vy3x5fo0xazi69shmmf4t5e2,5708633,5684776-2,35
Kent,Murphy,b53ifqxwqa2w55wk5tzcqa1mx,5703857,5684776-2,35
Kent,Murphy,et04968kna6kwcpv81ny6pcz5,5724331,5684776-2,35
Kent,Murphy,giijpg72vpi1tr557ffckooge,6201659,5684776-2,35
Kent,Murphy,n617fgvxluir5awd0oqkocdq3,6009061,5684776-2,35
Kent A.,Murphy,3s6923m6x6ak5qvzxe1egi6hx,5208877,4426215-1,35
Kent A.,Murphy,3vufwj4t95e1u47ffqvjsreo9,6366722,4426215-1,35
Kent A.,Murphy,619p3d4r8jv1ajq5m0jhe4e5c,4426215,4426215-1,35
Kent A.,Murphy,6965sx1gx00mbm8qtunlvgv0k,4550974,4426215-1,35
Kent A.,Murphy,ad1e3pl4tbpmi6aa58pdx10xd,6343168,4426215-1,35
Kent A.,Murphy,ahqtxar4wqxy0x1na7l3y55pg,5339374,4426215-1,35
Kent A.,Murphy,cinvw0efbxvns8cm7eu5mcj1r,5809189,4426215-1,35
Kent A.,Murphy,cysz4x3yz2lekxh7r44b2cvjx,6215943,4426215-1,35
Kent A.,Murphy,g6d4lvphco82yubwsx6pr8edd,5864641,4426215-1,35
Kent A.,Murphy,gtn75avi4lob71w2tdvrcjarl,4928004,4426215-1,35
Kent A.,Murphy,ihvcisb60seeb1bwxjqx53ufu,6429421,4426215-1,35
Kent A.,Murphy,inguv81fmfujqhf4yi0sqg56u,5446280,4426215-1,35
Kent A.,Murphy,l7s95y90efzzmsiw5aufiyd50,9222850,4426215-1,35
Kent A.,Murphy,mkpu0wq0rvzfeo9ds4vpckzyw,5448673,4426215-1,35
Kent A.,Murphy,p1aoi2632kynbydwawv7dpjss,4915471,4426215-1,35
Kent A.,Murphy,phokyoeh51i1wpuide6m4zic7,6035082,4426215-1,35
Kent A.,Murphy,q449gre02dx2tyehipxbycay7,9557243,4426215-1,35
Kent A.,Murphy,quxjq61kba1b8jbrw4apm0zwe,6275628,4426215-1,35
Kent A.,Murphy,rbgcznfqpclgj1hqedbhjivqe,5301001,4426215-1,35
Kent A.,Murphy,rnajmujqz27n5qhpsbtk3fpbu,6471942,4426215-1,35
Kent A.,Murphy,sjs27zpkmnjy0vvzdxdmf52x6,5641956,4426215-1,35
Kent A.,Murphy,suqkpyr8iqub9qkzi5dgbfja1,5224182,4426215-1,35
Kent A.,Murphy,tyn7ax6ma0vyogoj4nr3lhphf,6021240,4426215-1,35
Kent A.,Murphy,uirv4krbe06v64r56jrxodd2b,4950886,4426215-1,35
Kent A.,Murphy,wx1l03t5cc6tla7xj2t9uqp9h,5216731,4426215-1,35
Kent A.,Murphy,x879rksdda57jxee3ijs211mp,5024518,4426215-1,35
Kent A.,Murphy,zin8vzn6o4mja0t997kgymq8n,5189299,4426215-1,35
Kent A.,Murphy,zlpa0ygqhhqx3035dcbwlrxjx,6426796,4426215-1,35
Peter,Myers,3iormacx0z3xnk55tw5whvqnd,6267884,5975426-1,6
Peter,Myers,fx2hbkm7hoysrdhschi4nrqzh,D356888,D329030-1,6
Peter,Myers,k63ltwmr3higreofm1mav23jt,5975426,5975426-1,6
Peter,Myers,sexvlrirhllp2ex0x5ogrphw2,D329030,D329030-1,6
Peter,Myers,w09fyc4ei85jxsa67la73d1r9,6934836,5975426-1,6
Peter,Myers,yeyp6bho9jvlzrp49z0jrsf43,6758966,5975426-1,6
Dong Wook,Nam,dafbxdnzt1rm3b2qk67ec14oj,9640572,9640572-3,2
Dong Wook,Nam,j281gmri1kxvgukoe6dq79tmz,10153313,9640572-3,2
Robert B.,Naso,0ntijbfv57dhyrymb5v95i3du,7247502,6232082-3,9
Robert B.,Naso,1jjyopi2ysi4134lyxe65uuyw,7776620,6232082-3,9
Robert B.,Naso,4ppxaejujlt2m6gmxpv96u8rl,6232082,6232082-3,9
Robert B.,Naso,93f4i3drisp6i7xrxwd6nlz5a,6355625,6232082-3,9
Robert B.,Naso,aas2u7pf59skhlwzsgj7gcfkl,7030101,6232082-3,9
Robert B.,Naso,cdnznundm748opspfdy8bdfx9,8026109,6232082-3,9
Robert B.,Naso,jfhsxfhdusljhe3aon7dhp6ac,7449189,6232082-3,9
Robert B.,Naso,kqx9bz045c7974oprjgl0hx9u,6518031,6232082-3,9
Robert B.,Naso,p39gmho0kch7070zmanwpmg6k,6773891,6232082-3,9
Manuel,Navia,bve1u5wbabpnv1ofx47uw4an9,7501404,5618710-1,13
Manuel A.,Navia,42rsxuquw48bl2yb7p8nuq6x9,7504506,5618710-1,13
Manuel A.,Navia,5rpsqb9dj3c4g6oymb70s5j65,7897765,5618710-1,13
Manuel A.,Navia,6bwmtetuihnk9zzojil8cjwg3,6011001,5618710-1,13
Manuel A.,Navia,71gway840n3mcqc4mk88xoxlh,9994521,5618710-1,13
Manuel A.,Navia,cpn29qac7ngwxfvsnmcvhr6wt,5801022,5618710-1,13
Manuel A.,Navia,cw1daybrp4133ib8yzhip6nlo,7829589,5618710-1,13
Manuel A.,Navia,em6ws06fkbge676c6bce84do9,9499532,5618710-1,13
Manuel A.,Navia,j8w8lwycp4uv48x791tzo2tl5,7345048,5618710-1,13
Manuel A.,Navia,l9vv4zjt1x9ihbygxqad2v5g2,6004768,5618710-1,13
Manuel A.,Navia,le42rvth06x2jy8l336mc6p41,5849296,5618710-1,13
Manuel A.,Navia,mzvoi5gu4boaa6youj2x1h50h,5976529,5618710-1,13
Manuel A.,Navia,ru3qiibz2rrurfdcimz78bchn,5618710,5618710-1,13
Dean,Nelson,gazy1se67etod3ap0ff1jlfvv,7451278,7451278-3,1
Raymond,Nering,rvt8493srz44xy2eo8zkmdluo,8938142,5101463-3,1
Robert,Newell,gjheool1kp6x506jf1qeygljp,6113711,6113711-7,1
James,Nolan,21xf859h53skzgktkrqsy8o6x,7336701,5016219-1,27
James,Nolan,4lhomz1w0e5zocgskzcbj41ze,9301156,5016219-1,27
James,Nolan,6yh051lh0fzcz5f3n5fflggjf,9989975,4484273-3,27
James,Nolan,8u0p8gjysparxqia02jioeixv,6072404,4907449-2,27
